,NAME,WHITE_POP,BLACK_POP,HISPANIC_POP,ASIAN_POP,TOTAL_POP,HOUSING_UNITS,POP_UNDER_5,POP_5_9,POP_10_14,POP_15_19,state,county
476,"Medina County, Ohio",95.3,1.5,177257,1.2,177257,71882,9539,10907,12367,11878,39,103
477,"Union County, Ohio",91.3,2.7,55654,3.6,55654,20775,3419,3695,4213,3714,39,159
478,"Champaign County, Ohio",94.5,1.8,38864,0.6,38864,16793,2068,2317,2751,2595,39,021
479,"Paulding County, Ohio",95.0,0.8,18872,0.3,18872,8755,1091,1303,1289,1168,39,125
480,"Greene County, Ohio",85.9,7.2,165811,3.0,165811,69878,9276,8896,10085,12558,39,057
481,"Franklin County, Ohio",66.9,22.2,1275333,5.1,1275333,550659,91537,83641,78251,81339,39,049
482,"Marion County, Ohio",89.8,5.8,65344,0.6,65344,27908,3829,3767,3655,3746,39,101
483,"Morgan County, Ohio",92.5,4.7,14702,0.2,14702,7949,727,865,953,939,39,115
484,"Wayne County, Ohio",94.6,1.5,116208,1.0,116208,46500,7872,7824,7827,8424,39,169
485,"Wyandot County, Ohio",97.0,0.2,22107,1.2,22107,9945,1211,1500,1444,1396,39,175
486,"Butler County, Ohio",84.7,8.0,378294,3.1,378294,151198,23283,24186,26727,29670,39,017
487,"Harrison County, Ohio",95.6,2.2,15307,0.5,15307,8111,817,928,876,896,39,067
488,"Knox County, Ohio",96.5,1.1,61215,0.4,61215,25731,3616,4050,3822,4913,39,083
489,"Richland County, Ohio",86.8,7.9,121324,0.8,121324,54280,6996,6785,8015,7317,39,139
490,"Vinton County, Ohio",97.2,0.5,13111,0.2,13111,6270,699,697,990,844,39,163
491,"Hancock County, Ohio",92.4,1.5,75690,1.9,75690,34030,4602,4682,4787,5217,39,063
492,"Fairfield County, Ohio",87.9,7.1,152910,1.5,152910,60573,8989,9998,11121,10585,39,045
493,"Defiance County, Ohio",91.0,1.9,38279,0.4,38279,16807,2204,2259,2764,2725,39,039
494,"Henry County, Ohio",94.3,0.8,27316,0.4,27316,12071,1601,1842,1812,1786,39,069
495,"Jefferson County, Ohio",91.4,5.5,66886,0.5,66886,32528,3317,3276,3983,4239,39,081
496,"Putnam County, Ohio",94.6,0.4,33969,0.2,33969,13892,2283,2686,2348,2075,39,137
497,"Clinton County, Ohio",94.3,2.0,41896,0.5,41896,18178,2566,2814,2734,2929,39,027
498,"Fayette County, Ohio",93.8,2.0,28645,0.9,28645,12760,1773,1943,1979,1726,39,047
499,"Pickaway County, Ohio",93.4,3.5,57420,0.5,57420,21362,3014,3245,3797,3886,39,129
500,"Logan County, Ohio",94.7,1.7,45307,0.9,45307,23399,2753,2846,3164,2954,39,091
501,"Summit County, Ohio",78.8,14.4,541810,3.3,541810,245792,30607,30623,33026,34262,39,153
502,"Sandusky County, Ohio",90.6,3.0,59299,0.3,59299,26336,3339,3885,3799,3961,39,143
503,"Shelby County, Ohio",94.1,2.7,48797,1.0,48797,20421,3084,3368,3668,3490,39,149
504,"Cottonwood County, Minnesota",89.8,0.7,11372,3.5,11372,5435,778,807,728,649,27,033
505,"Scott County, Minnesota",84.3,4.1,143372,6.1,143372,50538,10216,11364,11916,10211,27,139
506,"Dodge County, Minnesota",95.6,0.2,20582,0.8,20582,8205,1330,1565,1630,1436,27,039
507,"Wabasha County, Minnesota",96.2,0.6,21500,0.4,21500,10189,1190,1276,1353,1230,27,157
